171013122033, FC, Phase2, X0, F100, 16384, 32, 70, 30, 207507.9642, 3242.3125, 0.00068210, 207434.8224, 3241.1695, 0.00068201, 207545.8000, 3242.9000, 0.00068203, NO	, 171013122033, FC, Phase2, X0, F100, 16384, 32, 70, 30, NO, Average,  17.6815525388,  0.2827500517,  73.3603046419,  80.4033161027,  7.0463649437
171013122751, FC, Phase2, X0, F100, 32768, 32, 70, 30, 121949.5755, 3810.9247, 0.00133724, 121940.8726, 3810.6527, 0.00133712, 122083.2000, 3815.1000, 0.00133733, NO	, 171013122751, FC, Phase2, X0, F100, 32768, 32, 70, 30, NO, Average,  52.5505254609,  0.4538815064,  39.7227868593,  44.5633809790,  4.8402197019
171013123509, FC, Phase2, X0, F100, 65536, 32, 70, 30, 61742.3114, 3858.8945, 0.00302113, 61744.1684, 3859.0106, 0.00302112, 61709.2000, 3856.8200, 0.00302062, NO	, 171013123509, FC, Phase2, X0, F100, 65536, 32, 70, 30, NO, Average,  75.9992799076,  0.2640799014,  18.5865784349,  21.0906041922,  2.5073906933
171013124227, FC, Phase2, X0, F100, 131072, 32, 70, 30, 30987.6577, 3873.4565, 0.00629081, 30988.2247, 3873.5275, 0.00629067, 31020.0000, 3877.5000, 0.00629188, NO	, 171013124227, FC, Phase2, X0, F100, 131072, 32, 70, 30, NO, Average,  87.3689964447,  0.0967261088,  9.5576307881,  10.6778081527,  1.1272753620
171013124946, FC, Phase2, X0, F100, 4096, 64, 70, 30, 342800.7640, 1339.0652, 0.00086838, 342190.4562, 1336.6812, 0.00087224, 352246.2000, 1375.9600, 0.00085997, NO	, 171013124946, FC, Phase2, X0, F100, 4096, 64, 70, 30, NO, Average,  12.6612785756,  0.1748829406,  79.6176935604,  86.0989704366,  6.4846427077
171013125704, FC, Phase2, X0, F100, 8192, 64, 70, 30, 315118.0257, 2461.8601, 0.00095722, 313428.9544, 2448.6642, 0.00096142, 316841.8000, 2475.3300, 0.00095091, NO	, 171013125704, FC, Phase2, X0, F100, 8192, 64, 70, 30, NO, Average,  12.2423719616,  0.1711086076,  80.1846169980,  86.7546525009,  6.5733904310
171013130422, FC, Phase2, X0, F100, 16384, 64, 70, 30, 229094.1819, 3579.5971, 0.00126251, 229094.1819, 3579.5971, 0.00126796, 225696.4600, 3526.5100, 0.00125544, NO	, 171013130422, FC, Phase2, X0, F100, 16384, 64, 70, 30, NO, Average,  13.4478534137,  0.2120450976,  78.7516128535,  85.3965695793,  6.6483125742
171013131140, FC, Phase2, X0, F100, 32768, 64, 70, 30, 121818.0028, 3806.8125, 0.00253831, 121823.4871, 3806.9838, 0.00253815, 121970.8000, 3811.5900, 0.00253813, NO	, 171013131140, FC, Phase2, X0, F100, 32768, 64, 70, 30, NO, Average,  52.7981133673,  0.3422634253,  39.8669335319,  44.2386642253,  4.3750928629
171013131858, FC, Phase2, X0, F100, 65536, 64, 70, 30, 61703.8977, 3856.4931, 0.00592890, 61710.0529, 3856.8780, 0.00592801, 61699.6600, 3856.2300, 0.00592905, NO	, 171013131858, FC, Phase2, X0, F100, 65536, 64, 70, 30, NO, Average,  76.4437099335,  0.1488190987,  18.9102814932,  21.2544237427,  2.3437805974
171013132616, FC, Phase2, X0, F100, 131072, 64, 70, 30, 30975.2340, 3871.9052, 0.01251005, 30975.9971, 3872.0005, 0.01250755, 30943.6000, 3867.9500, 0.01251444, NO	, 171013132616, FC, Phase2, X0, F100, 131072, 64, 70, 30, NO, Average,  87.9144946836,  0.0818729441,  9.1223320117,  10.2909841490,  1.1757417967
